NOME_PRODUTO,URL,CATEGORIA,PORCAO (g),CALORIAS (kcal),CARBOIDRATOS (g),PROTEINAS (g),GORDURAS_TOTAIS (g),GORDURAS_SATURADAS (g),FIBRAS (g),ACUCARES (g),SODIO (mg)
Kit 3 Unidades Resveramax (30 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-3-unidades-resveramax-30-capsulas-pura-vida,Antioxidante,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Whey Protein Isolado Sabor Língua de Gato® (450g) - Pura vida,https://www.corpoevidasuplementos.com.br/whey-protein-isolado-sabor-lingua-de-gato-450g-pura-vida-1,Whey Protein Isolado,0.0,109.0,3.9,22.0,0.0,0,2.3,0.1,92.0
Kit 3 un Matchá Premium (100g) - Pura vida,https://www.corpoevidasuplementos.com.br/kit-3-un-matcha-premium-100g-pura-vida,Substitutos de Refeição,2.0,6.0,0.8,0.0,0.0,0,1.0,0.0,16.0
Omega 3 Super DHA (60caps) - Pura Vida,https://www.corpoevidasuplementos.com.br/omega-3-super-dha-60caps-pura-vida-1,Vitaminas e Minerais,0.0,20.0,0.0,0.0,1.7,0,0.0,0.0,0.0
Kit 2un Alpha Men (60 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-2-un-alpha-men-60-capsulas-pura-vida,Multivitaminicos,0.0,10.0,0.0,0.5,0.4,0,0.0,0.0,0.0
Kit 3 Unidades Supreme Beauty (30caps) - Pura vida,https://www.corpoevidasuplementos.com.br/kit-3-unidades-supreme-beauty-30caps-pura-vida,Vitaminas e Minerais,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Vision Care (60 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/vision-care-60-capsulas-pura-vida,Vitaminas e Minerais,1.0,10.0,0.0,0.0,0.5,0,0.0,0.0,0.0
"Blue Calm Sabor Limão, Camomila, Maracujá e Spirulina Azul (1 Sachê de 5g) - Pura Vida",https://www.corpoevidasuplementos.com.br/blue-calm-sabor-limao-camomila-maracuja-e-spirulina-azul-1-sache-de-5g-pura-vida,Bem-Estar,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Resveramax (30 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/resveramax-30-capsulas-pura-vida,Antioxidante,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Power Coffee (440g) - Pura Vida,https://www.corpoevidasuplementos.com.br/power-coffee-440g-pura-vida,Termogênicos e Queimadores,10.0,42.0,2.8,0.6,0.0,0,0.8,0.0,17.0
