NOME_PRODUTO,URL,CATEGORIA,PORCAO (g),CALORIAS (kcal),CARBOIDRATOS (g),PROTEINAS (g),GORDURAS_TOTAIS (g),GORDURAS_SATURADAS (g),FIBRAS (g),ACUCARES (g),SODIO (mg)
Bio Ferro (60 Caps) - Pura Vida,https://www.corpoevidasuplementos.com.br/bio-ferro-60-caps-pura-vida,Vitaminas e Minerais,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Pura Juice Protein (60g) - Pura Vida,https://www.corpoevidasuplementos.com.br/pura-juice-protein-60g-pura-vida,Whey Protein,0.0,50.0,1.6,11.0,0.0,0,0.0,0.0,20.0
Kit 3 un Purabiotics (30 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-3-un-purabiotics-30-capsulas-pura-vida,Probióticos,1.9,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Tempero Plant Cheese (90g) - Pura Vida - Valid 05/2025,https://www.corpoevidasuplementos.com.br/tempero-plant-cheese-90g-pura-vida-1,Temperos / Molhos / Caldas / Adoçantes,5.0,26.0,1.1,1.5,0.0,0,0.0,0.0,62.0
Collagen Pro Body Support (500g) - Pura Vida,https://www.corpoevidasuplementos.com.br/collagen-pro-body-support-540g-pura-vida,Colágeno,0.0,60.0,0.0,15.0,0.0,0,0.0,0.0,43.0
Golden Maca (100g) - Pura Vida,https://www.corpoevidasuplementos.com.br/golden-maca-100g-pura-vida,Vitaminas e Minerais,5.0,11.0,3.7,0.0,0.0,0,1.3,0.0,0.0
Kit 3unid Bio Vit C+ Vitamina C Lipossomal (60 caps) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-3unid-bio-vit-c-vitamina-c-lipossomal-60-caps-pura-vida,Combos,3.1,9.0,0.0,0.0,0.8,0,0.0,0.0,0.0
Bio Zinco (30 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/bio-zinco-30-capsulas-pura-vida,Vitaminas e Minerais,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Kit 3 Unidades Coq10 Coenzima Q10 (60 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-3-unidades-coq10-coenzima-q10-60-capsulas-pura-vida,Combos,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Alpha Kids (150 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/alpha-kids-150-capsulas-pura-vida,Vitaminas e Minerais,1.12,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Immune Guard 600mg (60 Cápsulas) Pura vida,https://www.corpoevidasuplementos.com.br/immune-guard-600mg-60-capsulas-pura-vida,Vitaminas e Minerais,1.2,8.0,0.0,0.0,0.5,0,0.0,0.0,0.0
Whey Protein Grassfed (450g) - Pura Vida,https://www.corpoevidasuplementos.com.br/whey-protein-grassfed-450g-pura-vida-2,Whey Protein Concentrado,30.0,122.0,2.0,25.0,0.0,0,1.0,0.0,63.0
Kit 3 Unidades Vision Care (60 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-3-unidades-vision-care-60-capsulas-pura-vida,Combos,1.0,10.0,0.0,0.0,0.5,0,0.0,0.0,0.0
Kit 3 un Ghee (500g) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-3-un-ghee-500g-pura-vida,Gourmet,10.0,90.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Kit 3 un Krill Oil (60 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-3-un-krill-oil-60-capsulas-pura-vida,Vitaminas e Minerais,1.0,9.0,0.0,0.0,0.4,0,0.0,0.0,0.0
Natural Protein Soup (1 cx com 10 saches de 35g) - Pura Vida,https://www.corpoevidasuplementos.com.br/natural-protein-soup-1-cx-com-10-saches-de-35g-pura-vida,Substitutos de Refeição,35.0,120.0,10.0,16.0,0.0,0,2.0,0.0,422.0
Collagen Flex + Beauty (60 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/collagen-flex-beauty-60-capsulas-pura-vida,Colágeno,14.0,7.0,0.0,0.0,6.0,0,0.0,0.0,0.0
Kit 2 un Ghee Curcumax (500g) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-2-un-ghee-curcumax-500g-pura-vida,Gourmet,10.0,90.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Kit 3 un Ghee Curcumax (500g) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-3-un-ghee-curcumax-500g-pura-vida,Gourmet,10.0,90.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Vegan ômega 3 DHA (60 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/vegan-omega-3-dha-60-capsulas-pura-vida,Vitaminas e Minerais,0.0,10.0,0.0,0.0,0.6,0,0.0,0.0,0.0
Creme Dental (120g) - Pura vida,https://www.corpoevidasuplementos.com.br/creme-dental-120g-pura-vida-1,Suplementos Veganos,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Kit 2un Alpha Metabolicus (60 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-2-un-alpha-metabolicus-60-capsulas-pura-vida,Vitaminas e Minerais,2.1,9.0,0.0,0.0,0.7,0,0.0,0.0,0.0
Alpha A-Z (30 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/alpha-a-z-30-capsulas-pura-vida,Multivitaminicos,0.0,7.0,0.0,0.0,0.1,0,0.0,0.0,0.0
Kit 2 un Purabiotics (30 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-2-un-purabiotics-30-capsulas-pura-vida,Probióticos,1.9,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Kit 3un Alpha Men (60 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-3-un-alpha-men-60-capsulas-pura-vida,Multivitaminicos,0.0,10.0,0.0,0.5,0.4,0,0.0,0.0,0.0
Kit 2 Unidades Supreme Beauty (30caps) - Pura vida,https://www.corpoevidasuplementos.com.br/kit-2-unidades-supreme-beauty-30caps-pura-vida-1,Vitaminas e Minerais,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Kit 3 un Blue Calm (250g) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-3-un-blue-calm-250g-pura-vida,Combos,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Cacau em Pó Premium (250g) - Pura Vida,https://www.corpoevidasuplementos.com.br/cacau-em-po-premium-250g-pura-vida,Substitutos de Refeição,20.0,93.0,11.0,5.0,0.0,0,6.4,0.0,0.0
Coco Cream (1 sachê de 25g) - Pura Vida,https://www.corpoevidasuplementos.com.br/coco-cream-1-sache-de-25g-pura-vida-1,Leite Vegetal,25.0,231.0,9.0,2.0,0.0,0,0.1,0.0,24.0
Glutationa (30 Caps) - Pura Vida,https://www.corpoevidasuplementos.com.br/glutationa-30-caps-pura-vida,Antioxidante,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Kit 3 un Alpha Inflaminus (60 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-3-un-alpha-inflaminus-60-capsulas-pura-vida,Antioxidante,0.0,20.0,0.0,0.0,1.4,0,0.0,0.0,0.0
Kit 2un Krill Oil (60 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-2-un-krill-oil-60-capsulas-pura-vida,Vitaminas e Minerais,1.0,9.0,0.0,0.0,0.4,0,0.0,0.0,0.0
Bio Cálcio (60 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/bio-calcio-60-capsulas-pura-vida,Vitaminas e Minerais,0.0,9.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Bio Vit B9+ (20ml) - Pura Vida,https://www.corpoevidasuplementos.com.br/bio-vit-b9-20ml-pura-vida,Vitaminas e Minerais,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Bio Vit C+ Vitamina C Lipossomal (60 caps) - Pura Vida,https://www.corpoevidasuplementos.com.br/bio-vit-c-vitamina-c-lipossomal-60-capsulas-pura-vida,Vitaminas e Minerais,3.1,9.0,0.0,0.0,0.8,0,0.0,0.0,0.0
Kit 2 un Tempero Plant Bacon (140g) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-2-un-tempero-plant-bacon-140g-pura-vida,Temperos / Molhos / Caldas / Adoçantes,5.0,11.0,2.1,0.7,0.0,0,0.0,0.0,366.0
Vegan Protein (450g) - Pura Vida,https://www.corpoevidasuplementos.com.br/vegan-protein-450g-pura-vida,Proteína Vegana,28.0,108.0,0.6,22.0,0.0,0,0.0,0.0,229.0
Combo 2 un Collagen Protein (450g) - Pura Vida,https://www.corpoevidasuplementos.com.br/combo-2-un-collagen-protein-450g-pura-vida,Combos,23.0,154.0,95.0,21.0,0.0,0,2.6,0.0,69.0
Kit 3 un Puro Açaí (200g) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-3-un-puro-acai-200g-pura-vida,Substitutos de Refeição,5.0,27.0,0.0,0.5,0.0,0,1.4,0.0,3.0
Kit 3 un Tempero Plant Cheese (90g) - Pura Vida - Valid 05/2025,https://www.corpoevidasuplementos.com.br/kit-3-un-tempero-plant-cheese-90g-pura-vida,Temperos / Molhos / Caldas / Adoçantes,5.0,26.0,1.1,1.5,0.0,0,0.0,0.0,62.0
Kit 2 un Brain TCM (300ml) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-2-un-brain-tcm-300ml-pura-vida,CL/LA/Bloqueadores de Gordura,0.0,100.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Tempero Plant Bacon (140g) - Pura Vida,https://www.corpoevidasuplementos.com.br/tempero-plant-bacon-140g-pura-vida-1,Temperos / Molhos / Caldas / Adoçantes,5.0,11.0,2.1,0.7,0.0,0,0.0,0.0,366.0
Collagen Pro Beauty Blend (540g) - Pura Vida,https://www.corpoevidasuplementos.com.br/collagen-pro-beauty-blend-540g-pura-vida,Colágeno,0.0,53.0,4.8,11.0,0.0,0,0.8,0.0,39.0
Kit 2 un Collagen Flex + Beauty (60 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-2-un-collagen-flex-beauty-60-capsulas-pura-vida,Colágeno,14.0,7.0,0.0,0.0,6.0,0,0.0,0.0,0.0
Bio Vit D3 + K2 (20ml) - Pura Vida,https://www.corpoevidasuplementos.com.br/bio-vit-d3-k2-20ml-pura-vida,Vitaminas e Minerais,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Puro Açaí (200g) - Pura Vida,https://www.corpoevidasuplementos.com.br/puro-acai-200g-pura-vida,Substitutos de Refeição,5.0,27.0,0.0,0.5,0.0,0,1.4,0.0,3.0
Pura Fiber (250g) - Pura Vida,https://www.corpoevidasuplementos.com.br/pura-fiber-250g-pura-vida,Enzimas,8.0,0.0,0.0,0.0,0.0,0,6.8,0.0,8.0
Power Coffee (Sachê 9g) - Pura Vida,https://www.corpoevidasuplementos.com.br/power-coffee-sache-9g-pura-vida,Termogênicos e Queimadores,0.0,29.0,2.3,0.4,0.0,0,1.7,0.0,63.0
Whey Protein Isolado Sabor Dark Chocolate (30g) - Pura vida,https://www.corpoevidasuplementos.com.br/whey-protein-isolado-sabor-dark-chocolate-30g-pura-vida,Whey Protein Isolado,30.0,93.0,3.5,22.0,0.0,0,1.2,0.0,58.0
Palatinose (300g) - Pura Vida,https://www.corpoevidasuplementos.com.br/palatinose-300g-pura-vida,Palatinose,0.0,80.0,20.0,0.0,0.0,0,0.0,0.0,0.0
Kit 2 un Bio Cálcio (60 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-2-un-1,Vitaminas e Minerais,0.0,9.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Kit 2 un Immune Guard 600mg (60 Cápsulas) Pura vida,https://www.corpoevidasuplementos.com.br/kit-2-un-immune-guard-600mg-60-capsulas-pura-vida,Vitaminas e Minerais,1.2,8.0,0.0,0.0,0.5,0,0.0,0.0,0.0
Spirulina Premium (600 Tabletes) - Pura vida,https://www.corpoevidasuplementos.com.br/spirulina-premium-600-tabletes-pura-vida,Vitaminas e Minerais,3.0,8.0,0.0,2.0,0.0,0,0.0,0.0,23.0
Kit 2unid Bio Vit C+ Vitamina C Lipossomal (60 caps) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-2un-bio-vit-c-vitamina-c-lipossomal-60-caps-pura-vida,Vitaminas e Minerais,3.1,9.0,0.0,0.0,0.8,0,0.0,0.0,0.0
Ômega 3 Pulse (60caps) - Pura Vida,https://www.corpoevidasuplementos.com.br/omega-3-pulse-60caps-pura-vida,Vitaminas e Minerais,0.0,32.0,0.0,0.7,2.4,0,0.0,0.0,0.0
Porta Cápsulas - Pura Vida,https://www.corpoevidasuplementos.com.br/porta-capsulas-pura-vida,Acessórios,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Whey Protein Grassfed (900g) - Pura Vida,https://www.corpoevidasuplementos.com.br/whey-protein-grassfed-900g-pura-vida-3,Whey Protein Concentrado,30.0,122.0,2.0,25.0,0.0,0,1.0,0.0,63.0
Kit 2 un Alpha Inflaminus (60 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-2-un-alpha-inflaminus-60-capsulas-pura-vida,Antioxidante,0.0,20.0,0.0,0.0,1.4,0,0.0,0.0,0.0
Power Chai (220g) - Pura Vida,https://www.corpoevidasuplementos.com.br/power-chai-220g-pura-vida,Termogênicos e Queimadores,10.0,55.0,3.1,1.1,0.0,0,0.0,0.0,16.0
Kit 3 un Power Chai (220g) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-3-un-power-chai-220g-pura-vida,Termogênicos e Queimadores,10.0,55.0,3.1,1.1,0.0,0,0.0,0.0,16.0
Bio Trimag (60 Caps.) - Pura Vida,https://www.corpoevidasuplementos.com.br/bio-trimag-60-caps-pura-vida,Vitaminas e Minerais,6.0,22.0,0.0,0.9,1.7,0,0.0,0.0,0.0
Premium Própolis (60 Cápsulas Softgel) - Pura Vida,https://www.corpoevidasuplementos.com.br/premium-propolis-60-capsulas-softgel-pura-vida,Vitaminas e Minerais,1.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Choco Nutrients (1cx com 10 Sachês de 20g) - Pura Vida,https://www.corpoevidasuplementos.com.br/choco-nutrients-1cx-com-10-saches-de-20g-pura-vida,Substitutos de Refeição,20.0,61.0,11.0,2.0,0.0,0,4.0,0.0,82.0
Snacks Plant (40g) - Pura Vida,https://www.corpoevidasuplementos.com.br/snacks-plant-40g-pura-vida,Substitutos de Refeição,0.0,78.0,4.6,2.3,0.0,0,0.8,0.0,80.0
Kit 3 un Alpha Women (60 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-3-un-alpha-women-novo-60-capsulas-pura-vida,Multivitaminicos,0.0,10.0,0.0,0.5,0.3,0,0.0,0.0,0.0
Cacau Butter Premium (250g) - Pura Vida,https://www.corpoevidasuplementos.com.br/cacau-butter-premium-250g-pura-vida,Substitutos de Refeição,7.0,70.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Curcumagic (30 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/curcumagic-30-capsulas-pura-vida,Vitaminas e Minerais,0.78,0.0,0.0,0.0,0.2,0,0.0,0.0,0.0
Alpha Men (60 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/alpha-men-novo-60-capsulas-pura-vida,Multivitaminicos,0.0,10.0,0.0,0.5,0.4,0,0.0,0.0,0.0
Krill Oil (60 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/krill-oil-60-capsulas-pura-vida-1,Vitaminas e Minerais,1.0,9.0,0.0,0.0,0.4,0,0.0,0.0,0.0
Collagen Pro Joint + Bones (450G) - Pura Vida,https://www.corpoevidasuplementos.com.br/collagen-pro-joint-bones-450g-pura-vida,Colágeno,0.0,45.0,0.0,11.0,0.0,0,0.8,0.0,32.0
Alpha Inflaminus (60 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/alpha-inflaminus-60-capsulas-pura-vida,Antioxidante,0.0,20.0,0.0,0.0,1.4,0,0.0,0.0,0.0
Matchá Premium (100g) - Pura vida,https://www.corpoevidasuplementos.com.br/matcha-premium-100g-pura-vida,Substitutos de Refeição,2.0,6.0,0.8,0.0,0.0,0,1.0,0.0,16.0
Kit 2 un Blue Calm (250g) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-2-un-blue-calm-250g-pura-vida,Combos,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Power Coffee (180g) - Pura Vida,https://www.corpoevidasuplementos.com.br/power-coffee-180g-pura-vida,Termogênicos e Queimadores,0.0,29.0,2.3,0.4,0.0,0,1.7,0.0,63.0
Collagen Protein (1 Sachê) - Pura Vida,https://www.corpoevidasuplementos.com.br/collagen-protein-1-sache-pura-vida,Colágeno,40.0,163.0,11.0,21.0,0.0,0,1.0,0.0,58.0
Kit 2un Alpha Harmony (90 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-2-un-alpha-harmony-90-capsulas-pura-vida,Vitaminas e Minerais,4.3,28.0,0.0,0.7,1.5,0,0.0,0.0,0.0
Ghee Curcumax (500g) - Pura Vida,https://www.corpoevidasuplementos.com.br/ghee-curcumax-500g-pura-vida,Gourmet,10.0,90.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Vitamina D3 Synergy (60 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/vitamina-d3-synergy-60-capsulas-pura-vida,Vitaminas e Minerais,0.0,6.0,0.0,0.0,0.4,0,0.0,0.0,0.0
Compre 2unid Power Coffee (180g) - Pura Vida e Ganhe Xícara,https://www.corpoevidasuplementos.com.br/compre-2unid-power-coffee-180g-pura-vida-e-ganhe-xicara,Combos,0.0,29.0,2.3,0.4,0.0,0,1.7,0.0,63.0
Kit 2 un Coconut Granola (180g) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-2-un-coconut-granola-180g-pura-vida,Substitutos de Refeição,30.0,140.0,11.0,2.8,0.0,0,4.8,0.0,4.5
Alpha Metabolicus (60 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/alpha-metabolicus-60-capsulas-pura-vida,Vitaminas e Minerais,2.1,9.0,0.0,0.0,0.7,0,0.0,0.0,0.0
Alpha Harmony (90 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/alpha-harmony-90-capsulas-pura-vida,Multivitaminicos,4.3,28.0,0.0,0.7,1.5,0,0.0,0.0,0.0
Bio Trimag (120 Caps.) - Pura Vida,https://www.corpoevidasuplementos.com.br/bio-trimag-120-caps-pura-vida,Vitaminas e Minerais,0.0,22.0,0.0,0.9,1.7,0,0.0,0.0,0.0
Kit 2 un Astaxantina (60 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-2-un-astaxantina-60-capsulas-pura-vida,Antioxidante,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Creatina Monohidratada (300g) - Pura Vida,https://www.corpoevidasuplementos.com.br/creatina-monohidratada-300g-pura-vida,Creatinas,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Power Coffee (220g) - Pura Vida,https://www.corpoevidasuplementos.com.br/power-coffee-220g-pura-vida,Termogênicos e Queimadores,10.0,43.0,2.2,0.0,0.0,0,0.6,0.0,0.0
Combo Resveramax (30 caps) + Vitamina C Lipossomal (60 caps) + Vitamina D3 Synergy (60 caps) - Pura Vida,https://www.corpoevidasuplementos.com.br/combo-resveramax-30-caps-vitamina-c-lipossomal-60-caps-vitamina-d3-synergy-60-caps-pura-vida,Combos,2.2,6.0,0.0,0.0,0.4,0,0.0,0.0,0.0
"Blue Calm Sabor Limão, Camomila, Maracujá e Spirulina Azul (250g) - Pura Vida",https://www.corpoevidasuplementos.com.br/blue-calm-sabor-limao-camomila-maracuja-e-spirulina-azul-250g-pura-vida,Bem-Estar,0.0,0.0,0.2,0.0,0.0,0,0.0,0.1,0.0
Kit 3 un Pura Fiber (250g) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-3-un-pura-fiber-250g-pura-vida,Enzimas,8.0,0.0,0.0,0.0,0.0,0,6.8,0.0,8.0
Kit 3 un Hydra Energy (Caixa com 10 Sachês de 30g cada) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-3-un-hydra-energy-caixa-com-10-saches-de-30g-cada-pura-vida,Endurance,30.0,80.0,20.0,0.0,0.0,0,0.0,0.0,514.0
Kit 3 un Astaxantina (60 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-3-un-astaxantina-60-capsulas-pura-vida,Antioxidante,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Brain Focus (30 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/brain-focus-30-capsulas-pura-vida,Vitaminas e Minerais,0.0,0.0,0.0,0.6,1.2,0,0.0,0.0,0.0
Kit 2 un Matchá Premium (100g) - Pura vida,https://www.corpoevidasuplementos.com.br/kit-2-un-matcha-premium-100g-pura-vida,Substitutos de Refeição,2.0,6.0,0.8,0.0,0.0,0,1.0,0.0,16.0
Kit 3 Unidades Beauty Care (60 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-3-unidades-beauty-care-60-capsulas-pura-vida,Combos,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Bio Vit B12+ (20ml) - Pura Vida,https://www.corpoevidasuplementos.com.br/bio-vit-b12-20ml-pura-vida,Vitaminas e Minerais,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Collagen Protein (450g) - Pura Vida,https://www.corpoevidasuplementos.com.br/collagen-protein-450g-pura-vida,Colágeno,23.0,154.0,95.0,21.0,0.0,0,2.6,0.0,69.0
One Nutrition (1 Sachê de 45g cada) - Pura Vida,https://www.corpoevidasuplementos.com.br/one-nutrition-1-sache-de-45g-cada-pura-vida-1,Outros Suplementos Veganos,45.0,143.0,14.0,23.0,0.0,0,3.0,0.0,152.0
Astaxantina (60 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/astaxantina-60-capsulas-pura-vida,Antioxidante,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Glutamina+ (300g) - Pura Vida,https://www.corpoevidasuplementos.com.br/glutamina-300g-pura-vida-1,Glutaminas,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Bio magnésio (60 cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/bio-magnesio-60-capsulas-pura-vida,Vitaminas e Minerais,0.0,13.0,0.0,0.5,1.1,0,0.0,0.0,0.0
Kit 2 un Whey Protein Isolado (450g) - Pura vida,https://www.corpoevidasuplementos.com.br/kit-2-un-whey-protein-isolado-450g-pura-vida,Whey Protein Isolado,30.0,93.0,3.5,22.0,0.0,0,1.2,0.0,58.0
Kit 3 un Alpha Kids (150 Cápsulas) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-3-un-alpha-kids-150-capsulas-pura-vida,Vitaminas e Minerais,1.12,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Natural Protein Soup (1 unidade de 35g) - Pura Vida,https://www.corpoevidasuplementos.com.br/natural-protein-soup-1-unidade-de-35g-pura-vida,Substitutos de Refeição,35.0,120.0,10.0,16.0,0.0,0,2.0,0.0,422.0
Kit 2un Premium Própolis (60 Cápsulas Softgel) - Pura Vida,https://www.corpoevidasuplementos.com.br/kit-2-un-premium-propolis-60-capsulas-softgel-pura-vida,Vitaminas e Minerais,1.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
